comment_id,date,channel,customer_id,comment_text
1,2026-03-06 16:54:17,Instagram,221,Llegó dañado
2,2026-01-18 16:54:17,Instagram,195,Excelente servicio
3,2026-02-07 16:54:17,Mercado Libre,284,Excelente servicio
4,2026-01-03 16:54:17,Web,479,Muy recomendable
5,2026-03-08 16:54:17,Facebook,185,No respondieron mis mensajes
6,2026-01-11 16:54:17,Web,498,La atención fue impecable
7,2026-01-18 16:54:17,Facebook,234,Tardó mucho
8,2025-12-17 16:54:17,Mercado Libre,344,Muy recomendable
9,2026-01-14 16:54:17,Web,198,Cumple con lo esperado
10,2026-02-22 16:54:17,Mercado Libre,50,Recibido correctamente
11,2025-12-21 16:54:17,Instagram,144,Entrega rápida
12,2025-12-30 16:54:17,Facebook,482,Muy recomendable
13,2026-01-21 16:54:17,Web,91,Volvería a comprar
14,2026-02-27 16:54:17,Facebook,172,Sin comentarios
15,2026-01-01 16:54:17,Mercado Libre,231,Muy buena calidad
16,2025-12-17 16:54:17,Web,370,Llegó dañado
17,2026-02-11 16:54:17,Instagram,54,Recibido correctamente
18,2026-02-01 16:54:17,Web,191,Normal
19,2026-03-12 16:54:17,Web,223,Sin comentarios
20,2026-03-01 16:54:17,Mercado Libre,433,Producto estándar
21,2026-02-27 16:54:17,Instagram,433,Llegó dañado
22,2026-01-13 16:54:17,Mercado Libre,364,Producto estándar
23,2026-03-15 16:54:17,Mercado Libre,33,La experiencia fue mala
24,2026-02-17 16:54:17,Web,210,Producto defectuoso
25,2026-03-11 16:54:17,Facebook,88,Llegó antes de lo esperado
26,2026-02-28 16:54:17,Web,434,Normal
27,2026-02-23 16:54:17,Instagram,471,Recibido correctamente
28,2025-12-29 16:54:17,Web,455,Producto defectuoso
29,2026-03-17 16:54:17,Mercado Libre,46,Normal
30,2026-01-10 16:54:17,Instagram,83,Producto defectuoso
31,2026-01-19 16:54:17,Instagram,47,Muy recomendable
32,2026-01-23 16:54:17,Mercado Libre,200,Recibido correctamente
33,2026-01-29 16:54:17,Mercado Libre,247,Entrega rápida
34,2026-03-10 16:54:17,Web,483,Recibido correctamente
35,2025-12-25 16:54:17,Mercado Libre,47,La atención fue impecable
36,2026-01-03 16:54:17,Web,500,Excelente servicio
37,2025-12-29 16:54:17,Instagram,433,Todo ok
38,2026-03-04 16:54:17,Mercado Libre,162,Volvería a comprar
39,2026-01-22 16:54:17,Mercado Libre,383,Muy buena calidad
40,2026-01-30 16:54:17,Instagram,485,Todo ok
41,2026-03-11 16:54:17,Instagram,103,Muy buena calidad
42,2026-03-13 16:54:17,Facebook,37,No cumplió mis expectativas
43,2026-01-01 16:54:17,Web,349,Excelente servicio
44,2026-03-17 16:54:17,Facebook,132,Entrega rápida
45,2026-01-12 16:54:17,Web,288,No respondieron mis mensajes
46,2025-12-18 16:54:17,Web,117,Muy recomendable
47,2026-01-04 16:54:17,Facebook,212,Producto estándar
48,2026-01-05 16:54:17,Instagram,443,No cumplió mis expectativas
49,2026-02-01 16:54:17,Instagram,305,Producto defectuoso
50,2026-02-10 16:54:17,Facebook,393,La atención fue impecable
51,2026-01-24 16:54:17,Mercado Libre,492,Cumple con lo esperado
52,2026-01-11 16:54:17,Instagram,243,Llegó antes de lo esperado
53,2026-02-06 16:54:17,Mercado Libre,110,Entrega rápida
54,2026-03-13 16:54:17,Web,171,Muy buena calidad
55,2026-02-26 16:54:17,Web,397,Recibido correctamente
56,2025-12-23 16:54:17,Facebook,114,Volvería a comprar
57,2026-03-09 16:54:17,Facebook,457,Tardó mucho
58,2026-02-18 16:54:17,Web,225,Producto defectuoso
59,2026-01-09 16:54:17,Instagram,173,Muy recomendable
60,2026-01-23 16:54:17,Mercado Libre,208,Producto defectuoso
61,2026-01-07 16:54:17,Facebook,20,No cumplió mis expectativas
62,2026-01-19 16:54:17,Instagram,302,Recibido correctamente
63,2026-02-17 16:54:17,Web,457,Tardó mucho
64,2026-01-07 16:54:17,Instagram,281,Tardó mucho
65,2026-02-23 16:54:17,Web,410,Mala atención
66,2026-01-28 16:54:17,Web,208,Muy recomendable
67,2026-01-07 16:54:17,Mercado Libre,170,No respondieron mis mensajes
68,2026-03-11 16:54:17,Facebook,418,Todo ok
69,2026-02-10 16:54:17,Mercado Libre,202,Llegó dañado
70,2026-01-19 16:54:17,Web,181,Entrega rápida
71,2026-01-30 16:54:17,Facebook,82,Llegó antes de lo esperado
72,2026-01-04 16:54:17,Instagram,374,Excelente servicio
73,2025-12-31 16:54:17,Mercado Libre,277,No respondieron mis mensajes
74,2026-02-04 16:54:17,Mercado Libre,22,Normal
75,2025-12-27 16:54:17,Web,375,Excelente servicio
76,2025-12-22 16:54:17,Mercado Libre,456,Mala atención
77,2026-03-05 16:54:17,Mercado Libre,52,Todo ok
78,2026-01-12 16:54:17,Facebook,49,Cumple con lo esperado
79,2025-12-20 16:54:17,Mercado Libre,73,No respondieron mis mensajes
80,2026-02-08 16:54:17,Facebook,350,La experiencia fue mala
81,2026-03-11 16:54:17,Instagram,87,Excelente servicio
82,2026-01-25 16:54:17,Web,471,Mala atención
83,2026-02-05 16:54:17,Web,358,Entrega rápida
84,2025-12-20 16:54:17,Instagram,1,Entrega rápida
85,2025-12-22 16:54:17,Instagram,94,Todo ok
86,2026-02-05 16:54:17,Web,447,Muy buena calidad
87,2026-03-16 16:54:17,Instagram,441,No cumplió mis expectativas
88,2025-12-18 16:54:17,Mercado Libre,41,No respondieron mis mensajes
89,2026-03-03 16:54:17,Web,110,Volvería a comprar
90,2026-02-01 16:54:17,Web,226,Cumple con lo esperado
91,2026-02-02 16:54:17,Mercado Libre,225,Tardó mucho
92,2026-03-12 16:54:17,Facebook,52,Todo ok
93,2025-12-17 16:54:17,Instagram,433,Muy recomendable
94,2026-01-17 16:54:17,Mercado Libre,477,Llegó dañado
95,2025-12-17 16:54:17,Web,330,Excelente servicio
96,2026-02-16 16:54:17,Mercado Libre,25,Excelente servicio
97,2026-01-26 16:54:17,Web,491,Cumple con lo esperado
98,2026-02-18 16:54:17,Web,396,Excelente servicio
99,2026-02-19 16:54:17,Mercado Libre,2,Producto defectuoso
100,2026-02-01 16:54:17,Instagram,481,Muy buena calidad
