date,channel,campaign_name,impressions,clicks,spend,conversions
2026-03-17,Mercado Libre,mercado_libre_campaign,5417,264,266.16,66
2026-03-17,Instagram,instagram_campaign,3187,117,401.45,92
2026-03-17,Web,web_campaign,8961,493,148.49,80
2026-03-17,Facebook,facebook_campaign,9350,757,470.29,24
2026-03-16,Mercado Libre,mercado_libre_campaign,5385,838,216.88,42
2026-03-16,Instagram,instagram_campaign,2619,378,437.9,76
2026-03-16,Web,web_campaign,6082,864,231.67,18
2026-03-16,Facebook,facebook_campaign,2755,347,454.45,42
2026-03-15,Mercado Libre,mercado_libre_campaign,5002,875,480.96,81
2026-03-15,Instagram,instagram_campaign,9682,287,332.38,77
2026-03-15,Web,web_campaign,1055,252,481.38,51
2026-03-15,Facebook,facebook_campaign,7876,681,203.58,71
2026-03-14,Mercado Libre,mercado_libre_campaign,4168,291,98.81,49
2026-03-14,Instagram,instagram_campaign,7960,357,363.21,44
2026-03-14,Web,web_campaign,4268,743,230.88,87
2026-03-14,Facebook,facebook_campaign,6847,198,220.96,89
2026-03-13,Mercado Libre,mercado_libre_campaign,4215,350,196.12,53
2026-03-13,Instagram,instagram_campaign,6847,582,391.52,78
2026-03-13,Web,web_campaign,6462,604,152.41,81
2026-03-13,Facebook,facebook_campaign,1269,806,84.32,82
2026-03-12,Mercado Libre,mercado_libre_campaign,3244,336,234.83,15
2026-03-12,Instagram,instagram_campaign,4358,578,235.56,19
2026-03-12,Web,web_campaign,2681,797,495.4,80
2026-03-12,Facebook,facebook_campaign,8229,835,111.07,37
2026-03-11,Mercado Libre,mercado_libre_campaign,4579,479,93.59,42
2026-03-11,Instagram,instagram_campaign,1191,701,234.11,45
2026-03-11,Web,web_campaign,8370,314,92.07,40
2026-03-11,Facebook,facebook_campaign,2946,195,412.44,86
2026-03-10,Mercado Libre,mercado_libre_campaign,9796,864,333.1,40
2026-03-10,Instagram,instagram_campaign,1723,587,360.05,79
2026-03-10,Web,web_campaign,3736,773,390.8,10
2026-03-10,Facebook,facebook_campaign,9020,936,496.52,62
2026-03-09,Mercado Libre,mercado_libre_campaign,6418,202,89.92,84
2026-03-09,Instagram,instagram_campaign,4757,689,174.95,64
2026-03-09,Web,web_campaign,6717,465,389.0,81
2026-03-09,Facebook,facebook_campaign,3691,127,382.51,90
2026-03-08,Mercado Libre,mercado_libre_campaign,1349,783,173.87,32
2026-03-08,Instagram,instagram_campaign,3571,339,381.86,32
2026-03-08,Web,web_campaign,4208,947,144.08,26
2026-03-08,Facebook,facebook_campaign,5833,571,77.57,67
2026-03-07,Mercado Libre,mercado_libre_campaign,4696,733,110.53,25
2026-03-07,Instagram,instagram_campaign,4345,475,332.21,48
2026-03-07,Web,web_campaign,8074,257,359.56,30
2026-03-07,Facebook,facebook_campaign,8761,487,53.43,57
2026-03-06,Mercado Libre,mercado_libre_campaign,1575,645,128.79,63
2026-03-06,Instagram,instagram_campaign,2778,186,393.99,37
2026-03-06,Web,web_campaign,2199,257,236.77,65
2026-03-06,Facebook,facebook_campaign,4756,816,415.67,44
2026-03-05,Mercado Libre,mercado_libre_campaign,9523,830,299.75,96
2026-03-05,Instagram,instagram_campaign,9697,705,454.54,84
2026-03-05,Web,web_campaign,6407,563,120.83,86
2026-03-05,Facebook,facebook_campaign,9730,776,305.28,67
2026-03-04,Mercado Libre,mercado_libre_campaign,7961,276,324.93,66
2026-03-04,Instagram,instagram_campaign,5574,423,167.1,37
2026-03-04,Web,web_campaign,1328,300,232.62,58
2026-03-04,Facebook,facebook_campaign,9772,576,467.26,84
2026-03-03,Mercado Libre,mercado_libre_campaign,2889,915,362.53,16
2026-03-03,Instagram,instagram_campaign,4764,854,365.12,24
2026-03-03,Web,web_campaign,8853,504,459.2,84
2026-03-03,Facebook,facebook_campaign,3215,154,283.08,78
2026-03-02,Mercado Libre,mercado_libre_campaign,4797,918,106.89,16
2026-03-02,Instagram,instagram_campaign,9329,978,323.11,19
2026-03-02,Web,web_campaign,4956,651,298.52,53
2026-03-02,Facebook,facebook_campaign,9602,650,92.09,43
2026-03-01,Mercado Libre,mercado_libre_campaign,6440,662,111.28,32
2026-03-01,Instagram,instagram_campaign,1721,537,270.73,36
2026-03-01,Web,web_campaign,3289,922,405.51,99
2026-03-01,Facebook,facebook_campaign,2464,630,116.52,66
2026-02-28,Mercado Libre,mercado_libre_campaign,2170,532,374.41,79
2026-02-28,Instagram,instagram_campaign,2313,855,392.06,68
2026-02-28,Web,web_campaign,3697,797,174.34,53
2026-02-28,Facebook,facebook_campaign,1490,133,394.47,13
2026-02-27,Mercado Libre,mercado_libre_campaign,1396,983,414.32,13
2026-02-27,Instagram,instagram_campaign,2370,430,124.22,91
2026-02-27,Web,web_campaign,2328,184,359.58,71
2026-02-27,Facebook,facebook_campaign,2609,549,402.64,78
2026-02-26,Mercado Libre,mercado_libre_campaign,7087,158,404.36,87
2026-02-26,Instagram,instagram_campaign,1423,836,117.4,55
2026-02-26,Web,web_campaign,6125,488,352.48,74
2026-02-26,Facebook,facebook_campaign,5749,870,181.46,30
2026-02-25,Mercado Libre,mercado_libre_campaign,2393,658,415.74,86
2026-02-25,Instagram,instagram_campaign,9847,588,179.23,76
2026-02-25,Web,web_campaign,2255,254,129.08,46
2026-02-25,Facebook,facebook_campaign,9215,736,404.74,50
2026-02-24,Mercado Libre,mercado_libre_campaign,7216,580,68.17,65
