order_id,order_date,customer_id,product_id,product_name,category,channel,seller_id,seller_name,quantity,unit_price,discount,total_amount,payment_status
1,2026-03-11 16:54:17,378,4,Remera Oversize,Ropa,Mercado Libre,5,Vendedor_5,2,48,0.05,91.2,paid
2,2025-11-29 16:54:17,120,19,Riñonera Sport,Accesorios,Mercado Libre,1,Vendedor_1,1,15,0.05,14.25,paid
3,2025-11-30 16:54:17,389,18,Camisa Lino,Ropa,Instagram,4,Vendedor_4,4,55,0.0,220.0,pending
4,2026-01-05 16:54:17,48,11,Buzo Hoodie,Ropa,Facebook,3,Vendedor_3,2,63,0.0,126.0,paid
5,2025-12-19 16:54:17,275,12,Short Deportivo,Ropa,Mercado Libre,10,Vendedor_10,3,25,0.15,63.75,pending
6,2025-10-27 16:54:17,99,3,Remera Básica,Ropa,Mercado Libre,5,Vendedor_5,5,66,0.2,264.0,paid
7,2026-01-02 16:54:17,143,8,Campera Denim,Ropa,Facebook,2,Vendedor_2,2,32,0.15,54.4,pending
8,2025-12-13 16:54:17,312,6,Pantalón Cargo,Ropa,Instagram,6,Vendedor_6,2,54,0.0,108.0,paid
9,2025-11-19 16:54:17,432,6,Pantalón Cargo,Ropa,Mercado Libre,7,Vendedor_7,3,48,0.1,129.6,paid
10,2025-12-27 16:54:17,468,2,Zapatillas Running,Calzado,Web,7,Vendedor_7,3,68,0.05,193.8,paid
11,2025-12-06 16:54:17,127,16,Sandalias Beach,Calzado,Web,8,Vendedor_8,2,93,0.05,176.7,pending
12,2025-12-05 16:54:17,253,19,Riñonera Sport,Accesorios,Mercado Libre,6,Vendedor_6,2,18,0.2,28.8,paid
13,2026-02-06 16:54:17,196,4,Remera Oversize,Ropa,Facebook,3,Vendedor_3,4,28,0.15,95.2,pending
14,2026-03-15 16:54:17,58,18,Camisa Lino,Ropa,Web,2,Vendedor_2,5,54,0.1,243.0,pending
15,2025-11-21 16:54:17,260,6,Pantalón Cargo,Ropa,Mercado Libre,1,Vendedor_1,3,84,0.05,239.4,pending
16,2025-10-13 16:54:17,277,17,Camisa Oxford,Ropa,Mercado Libre,4,Vendedor_4,2,67,0.05,127.3,pending
17,2026-03-13 16:54:17,123,16,Sandalias Beach,Calzado,Mercado Libre,2,Vendedor_2,3,172,0.1,464.4,paid
18,2026-02-25 16:54:17,393,19,Riñonera Sport,Accesorios,Instagram,2,Vendedor_2,4,14,0.2,44.8,paid
19,2025-10-28 16:54:17,217,16,Sandalias Beach,Calzado,Instagram,3,Vendedor_3,3,127,0.2,304.8,paid
20,2025-12-05 16:54:17,62,10,Mochila City,Accesorios,Instagram,6,Vendedor_6,4,43,0.15,146.2,paid
21,2025-12-21 16:54:17,302,3,Remera Básica,Ropa,Instagram,1,Vendedor_1,5,90,0.05,427.5,paid
22,2025-10-07 16:54:17,441,3,Remera Básica,Ropa,Web,1,Vendedor_1,2,28,0.0,56.0,paid
23,2026-01-16 16:54:17,68,17,Camisa Oxford,Ropa,Facebook,5,Vendedor_5,4,47,0.2,150.4,paid
24,2025-12-03 16:54:17,182,16,Sandalias Beach,Calzado,Facebook,4,Vendedor_4,1,72,0.15,61.2,pending
25,2026-03-04 16:54:17,410,15,Botas Trekking,Calzado,Mercado Libre,2,Vendedor_2,1,111,0.1,99.9,paid
26,2026-01-28 16:54:17,94,7,Campera Rompeviento,Ropa,Web,9,Vendedor_9,4,37,0.15,125.8,pending
27,2026-02-26 16:54:17,334,8,Campera Denim,Ropa,Mercado Libre,8,Vendedor_8,5,32,0.0,160.0,paid
28,2026-02-03 16:54:17,443,8,Campera Denim,Ropa,Facebook,7,Vendedor_7,4,81,0.05,307.8,paid
29,2025-12-10 16:54:17,147,6,Pantalón Cargo,Ropa,Facebook,1,Vendedor_1,4,53,0.15,180.2,pending
30,2026-01-28 16:54:17,377,5,Pantalón Chino,Ropa,Mercado Libre,5,Vendedor_5,2,27,0.2,43.2,pending
31,2026-03-05 16:54:17,81,2,Zapatillas Running,Calzado,Mercado Libre,10,Vendedor_10,4,124,0.2,396.8,paid
32,2026-02-28 16:54:17,62,6,Pantalón Cargo,Ropa,Instagram,10,Vendedor_10,1,50,0.15,42.5,paid
33,2026-02-25 16:54:17,162,20,Piluso Trend,Accesorios,Web,7,Vendedor_7,5,46,0.2,184.0,paid
34,2026-01-15 16:54:17,235,11,Buzo Hoodie,Ropa,Web,5,Vendedor_5,4,36,0.1,129.6,paid
35,2025-11-20 16:54:17,276,1,Zapatillas Urban,Calzado,Instagram,10,Vendedor_10,5,72,0.0,360.0,pending
36,2025-12-18 16:54:17,81,5,Pantalón Chino,Ropa,Facebook,2,Vendedor_2,2,67,0.1,120.6,pending
37,2025-10-01 16:54:17,154,20,Piluso Trend,Accesorios,Mercado Libre,9,Vendedor_9,1,52,0.2,41.6,paid
38,2026-02-16 16:54:17,145,9,Gorra Classic,Accesorios,Instagram,2,Vendedor_2,5,19,0.1,85.5,pending
39,2025-09-23 16:54:17,464,7,Campera Rompeviento,Ropa,Mercado Libre,5,Vendedor_5,5,82,0.1,369.0,paid
40,2026-01-06 16:54:17,327,14,Cinturón Casual,Accesorios,Web,1,Vendedor_1,1,31,0.05,29.45,paid
41,2025-10-27 16:54:17,39,15,Botas Trekking,Calzado,Instagram,7,Vendedor_7,5,61,0.0,305.0,paid
42,2025-10-19 16:54:17,22,12,Short Deportivo,Ropa,Web,9,Vendedor_9,2,75,0.05,142.5,pending
43,2025-12-16 16:54:17,182,2,Zapatillas Running,Calzado,Facebook,4,Vendedor_4,2,145,0.0,290.0,paid
44,2026-02-04 16:54:17,378,8,Campera Denim,Ropa,Web,3,Vendedor_3,4,23,0.05,87.4,pending
45,2026-01-08 16:54:17,440,8,Campera Denim,Ropa,Facebook,3,Vendedor_3,1,68,0.0,68.0,paid
46,2025-11-20 16:54:17,13,7,Campera Rompeviento,Ropa,Instagram,6,Vendedor_6,3,49,0.05,139.65,pending
47,2026-01-05 16:54:17,205,11,Buzo Hoodie,Ropa,Web,2,Vendedor_2,3,64,0.2,153.6,paid
48,2026-01-10 16:54:17,56,4,Remera Oversize,Ropa,Facebook,3,Vendedor_3,5,53,0.0,265.0,pending
49,2025-11-26 16:54:17,461,11,Buzo Hoodie,Ropa,Instagram,10,Vendedor_10,5,34,0.15,144.5,pending
50,2025-11-26 16:54:17,352,2,Zapatillas Running,Calzado,Instagram,1,Vendedor_1,5,178,0.2,712.0,pending
51,2026-02-28 16:54:17,369,14,Cinturón Casual,Accesorios,Web,6,Vendedor_6,5,30,0.0,150.0,pending
52,2025-12-24 16:54:17,99,14,Cinturón Casual,Accesorios,Facebook,7,Vendedor_7,3,45,0.05,128.25,pending
53,2025-10-11 16:54:17,427,6,Pantalón Cargo,Ropa,Mercado Libre,10,Vendedor_10,3,71,0.2,170.4,pending
54,2026-01-23 16:54:17,239,10,Mochila City,Accesorios,Facebook,7,Vendedor_7,5,48,0.1,216.0,pending
55,2025-11-07 16:54:17,264,7,Campera Rompeviento,Ropa,Web,8,Vendedor_8,2,30,0.1,54.0,paid
56,2025-09-26 16:54:17,13,8,Campera Denim,Ropa,Mercado Libre,5,Vendedor_5,2,45,0.05,85.5,paid
57,2025-10-12 16:54:17,100,16,Sandalias Beach,Calzado,Facebook,2,Vendedor_2,4,113,0.2,361.6,pending
58,2026-01-14 16:54:17,399,13,Medias Training,Accesorios,Facebook,3,Vendedor_3,1,58,0.0,58.0,paid
59,2025-09-20 16:54:17,128,6,Pantalón Cargo,Ropa,Mercado Libre,9,Vendedor_9,4,26,0.2,83.2,pending
60,2025-11-19 16:54:17,314,5,Pantalón Chino,Ropa,Facebook,9,Vendedor_9,5,60,0.15,255.0,pending
61,2025-11-16 16:54:17,393,6,Pantalón Cargo,Ropa,Facebook,8,Vendedor_8,3,51,0.1,137.7,paid
62,2025-11-25 16:54:17,172,9,Gorra Classic,Accesorios,Web,2,Vendedor_2,3,25,0.1,67.5,paid
63,2026-02-07 16:54:17,33,5,Pantalón Chino,Ropa,Facebook,4,Vendedor_4,4,39,0.05,148.2,pending
64,2025-10-30 16:54:17,427,11,Buzo Hoodie,Ropa,Facebook,8,Vendedor_8,4,27,0.05,102.6,pending
65,2025-09-20 16:54:17,4,19,Riñonera Sport,Accesorios,Web,1,Vendedor_1,5,34,0.15,144.5,pending
66,2025-11-30 16:54:17,250,13,Medias Training,Accesorios,Instagram,9,Vendedor_9,5,48,0.05,228.0,pending
67,2025-11-13 16:54:17,371,14,Cinturón Casual,Accesorios,Instagram,1,Vendedor_1,4,31,0.15,105.4,pending
68,2025-10-09 16:54:17,289,5,Pantalón Chino,Ropa,Mercado Libre,9,Vendedor_9,1,70,0.2,56.0,paid
69,2026-02-11 16:54:17,195,14,Cinturón Casual,Accesorios,Web,8,Vendedor_8,2,13,0.1,23.4,paid
70,2025-12-24 16:54:17,130,15,Botas Trekking,Calzado,Mercado Libre,6,Vendedor_6,4,95,0.15,323.0,pending
71,2025-10-30 16:54:17,400,1,Zapatillas Urban,Calzado,Mercado Libre,1,Vendedor_1,3,88,0.0,264.0,paid
72,2026-01-25 16:54:17,65,8,Campera Denim,Ropa,Facebook,1,Vendedor_1,5,39,0.05,185.25,paid
73,2026-01-21 16:54:17,86,19,Riñonera Sport,Accesorios,Mercado Libre,8,Vendedor_8,3,59,0.1,159.3,paid
74,2026-02-18 16:54:17,347,10,Mochila City,Accesorios,Facebook,10,Vendedor_10,1,29,0.2,23.2,pending
75,2026-02-26 16:54:17,436,7,Campera Rompeviento,Ropa,Mercado Libre,10,Vendedor_10,2,33,0.1,59.4,paid
